title,originallink,link,description,pubDate
외국인 돌아서자 다시 뛰는 <b>삼성전자</b>·SK하이닉스,https://view.asiae.co.kr/article/2021090711024704285,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004965449,지난달 증시 조정을 이끌었던 <b>삼성전자</b>와 SK하이닉스가 점차 주가를 회복하고 있다. 등을 돌렸던 외국인이 매수로 돌아선 덕이다. 다만 D램 가격 하락으로 단기 전망은 여전히 부정적인만큼 빠른 속도의 주가... ,"Tue, 07 Sep 2021 11:00:00 +0900"
<b>삼성전자</b> '갤럭시 A52s 5G' 출시…&quot;50만 원대&quot;,https://www.nocutnews.co.kr/news/5618115,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=079&aid=0003548659,"핵심요약방수방진 지원, 쿼드 카메라·120Hz 화면 주사율 디스플레이 탑재 <b>삼성전자</b>가 '갤럭시 A52s 5G'를 3일 국내 출시한다. 자급제와 이동통신 3사 모델로 출시된다. 가격은 59만 9500원이다. 색상은 어썸 블랙, 어썸... ","Thu, 02 Sep 2021 14:33:00 +0900"
"<b>삼성전자</b>, 단기 업황 우려 '선반영'…주가 반등 기대",http://www.newsprime.co.kr/news/article.html?no=552371,http://www.newsprime.co.kr/news/article.html?no=552371,"신한금융투자는 8일 <b>삼성전자</b>(005930)에 대해 단기 업황 우려가 상당 부분 반영됐기에 주가 반등만 남은 상황이라며 투자의견 '매수', 목표주가 10만원을 유지했다. 신한금투에 따르면 3분기 <b>삼성전자</b> 매출액과... ","Wed, 08 Sep 2021 09:30:00 +0900"
"<b>삼성전자</b>, ‘초격차’ DDR5 메모리 내년 양산… 차세대 D램도 적수 없다",https://biz.chosun.com/it-science/ict/2021/09/03/FS72J5N2WBAQRDLEXP6W3CM7HU/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=366&aid=0000758904,"최근 콘퍼런스에서 내년 양산 계획 밝혀 30GB 영화 2편 1초 만에 전송 가능 8단 TSV 기술 적용… 두께는 4단보다 얇아 1차세대 D램, 자율주행, 빅데이터, AI 활용 기대 <b>삼성전자</b>가 차세대 메모리 반도체 시장에서... ","Fri, 03 Sep 2021 06:01:00 +0900"
"<b>삼성전자</b>, 초격차 기술력으로 이미지센서 강자 日 소니 잡는다",https://www.dailian.co.kr/news/view/1029220/?sc=Naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002526744,<b>삼성전자</b>가 업계 최초로 2억 화소대의 이미지센서를 선보이면서 초격차 기술 경쟁력을 바탕으로 업계 1위 소니를 뛰어 넘겠다는 각오다. 이미 초고화소 기술력은 입증된 터라 높은 기술력을 시장 점유율 확대로... ,"Fri, 03 Sep 2021 06:00:00 +0900"
"<b>삼성전자</b>, 4도어 '키친핏' 첫 적용한 '비스포크 김치플러스' 신제품 출시",http://www.newsworks.co.kr/news/articleView.html?idxno=569845,http://www.newsworks.co.kr/news/articleView.html?idxno=569845, <b>삼성전자</b>가 프리미엄 김치냉장고 '비스포크 김치플러스' 4도어 신제품을 8일 출시했다. 이번 신제품의 가장 큰 특징은 별도의 공사 없이 주방 가구에 딱 맞춰 '빌트인 룩'을 구현해 주는 '키친핏' 디자인을 새롭게... ,"Wed, 08 Sep 2021 11:00:00 +0900"
"&quot;외국인 이제 <b>삼성전자</b> 산다, 오를 일만 남았다&quot; 5백만 개미주주 웃을까",http://news.mk.co.kr/newsRead.php?no=855441&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004847665,올 한해 내내 지겹도록 <b>삼성전자</b>를 팔아오던 외국인 투자자들이 조금씩 <b>삼성전자</b>를 되사는 모습을 보이고 있다. 반도체 경기 우려는 여전하지만 급락한 주가 탓에 저가 매력이 부각된 데 따른 것으로 보인다. 4분기... ,"Sun, 05 Sep 2021 07:34:00 +0900"
의료기기 관련주 시너지이노베이션·인트로메딕·<b>삼성전자</b>·메타바이오메드 반...,http://www.thekpm.com/view.php?ud=20210914061238834642ef4e12e4_17,http://www.thekpm.com/view.php?ud=20210914061238834642ef4e12e4_17,"또 <b>삼성전자</b> 주가는 전일 대비 1.33% 오른 7만6300원, 메타바이오메드는 전일 대비 0.89% 오른 3390원에 거래됐다. 그밖에 멕아이씨에스, 제놀루션, 레이언스, 딥노이드, 비올, 세종메디칼 주가는 상승했다. 하지만 덴티움... ","Tue, 14 Sep 2021 06:13:00 +0900"
"<b>삼성전자</b>, 보급형 '갤럭시 A52s 5G' 출시",http://www.busan.com/view/busan/view.php?code=2021090208364952705,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001116929,"<b>삼성전자</b> ‘갤럭시 A52s’.<b>삼성전자</b> 제공 <b>삼성전자</b>는 수준급 기능을 갖춘 보급형 ‘갤럭시 A52s 5G’를 3일 국내 출시한다고 2일 밝혔다. 자급제와 이동통신 3사 모델로 출시되며, 가격은 59만 9500원이다. 색상은... ","Thu, 02 Sep 2021 11:01:00 +0900"
"<b>삼성전자</b>, 신입 공채 메타버스 '일대일 직무상담' 실시",http://www.pressm.kr/news/articleView.html?idxno=48547,http://www.pressm.kr/news/articleView.html?idxno=48547,<b>삼성전자</b> ci. <b>삼성전자</b>는 8일부터 오는 13일까지 '2021년도 하반기 3급 신입채용'에서 메타버스 플랫폼을 활용한 '일대일 직무상담'을 실시한다고 밝혔다. <b>삼성전자</b>가 메타버스 플랫폼을 활용해 구직자와 소통하는 것은... ,"Wed, 08 Sep 2021 09:28:00 +0900"
